tag_name,time,value,quality
P-101.DISCHARGE_PRESSURE,2026-09-05T00:00:00Z,10.8,0
P-101.DISCHARGE_PRESSURE,2026-09-05T01:00:00Z,10.9,0
P-101.DISCHARGE_PRESSURE,2026-09-05T02:00:00Z,11.0,0
P-101.DISCHARGE_PRESSURE,2026-09-05T03:00:00Z,11.1,0
P-101.DISCHARGE_PRESSURE,2026-09-05T04:00:00Z,11.0,0
P-101.DISCHARGE_PRESSURE,2026-09-05T05:00:00Z,11.2,0
P-101.DISCHARGE_PRESSURE,2026-09-05T06:00:00Z,11.4,0
P-101.DISCHARGE_PRESSURE,2026-09-05T07:00:00Z,11.6,0
P-101.DISCHARGE_PRESSURE,2026-09-05T08:00:00Z,11.2,0
P-101.DISCHARGE_PRESSURE,2026-09-05T09:00:00Z,11.8,0
P-101.DISCHARGE_PRESSURE,2026-09-05T10:00:00Z,12.4,0
P-101.DISCHARGE_PRESSURE,2026-09-05T11:00:00Z,12.1,0
P-101.DISCHARGE_PRESSURE,2026-09-05T12:00:00Z,13.6,0
P-101.BEARING_TEMP,2026-09-05T00:00:00Z,58.2,0
P-101.BEARING_TEMP,2026-09-05T01:00:00Z,58.4,0
P-101.BEARING_TEMP,2026-09-05T02:00:00Z,58.6,0
P-101.BEARING_TEMP,2026-09-05T03:00:00Z,59.1,0
P-101.BEARING_TEMP,2026-09-05T04:00:00Z,60.0,0
P-101.BEARING_TEMP,2026-09-05T05:00:00Z,61.2,0
P-101.BEARING_TEMP,2026-09-05T06:00:00Z,62.4,0
P-101.BEARING_TEMP,2026-09-05T07:00:00Z,63.5,0
P-101.BEARING_TEMP,2026-09-05T08:00:00Z,64.1,0
P-101.BEARING_TEMP,2026-09-05T09:00:00Z,66.4,0
P-101.BEARING_TEMP,2026-09-05T10:00:00Z,71.2,0
P-101.BEARING_TEMP,2026-09-05T11:00:00Z,73.8,0
P-101.BEARING_TEMP,2026-09-05T12:00:00Z,78.5,0
P-101.VIBRATION,2026-09-05T00:00:00Z,1.6,0
P-101.VIBRATION,2026-09-05T01:00:00Z,1.6,0
P-101.VIBRATION,2026-09-05T02:00:00Z,1.7,0
P-101.VIBRATION,2026-09-05T03:00:00Z,1.7,0
P-101.VIBRATION,2026-09-05T04:00:00Z,1.8,0
P-101.VIBRATION,2026-09-05T05:00:00Z,1.9,0
P-101.VIBRATION,2026-09-05T06:00:00Z,2.0,0
P-101.VIBRATION,2026-09-05T07:00:00Z,2.0,0
P-101.VIBRATION,2026-09-05T08:00:00Z,2.1,0
P-101.VIBRATION,2026-09-05T09:00:00Z,2.3,0
P-101.VIBRATION,2026-09-05T10:00:00Z,2.8,0
P-101.VIBRATION,2026-09-05T11:00:00Z,3.4,0
P-101.VIBRATION,2026-09-05T12:00:00Z,4.1,0
